FID	IID	PC1	PC2	Anc_1st	Pr_1st	Anc_2nd	Pr_2nd	Ancestry
2427	NA19919	-0.0299	0.0012	AFR	0.9973	AMR	0.0016	AFR
2425	NA19902	-0.0295	0.0008	AFR	0.997	AMR	0.0017	AFR
2484	NA20335	-0.0239	-0.0029	AFR	0.9954	AMR	0.0016	AFR
2475	NA20297	-0.027	0.0007	AFR	0.9947	AMR	0.003	AFR
2471	NA20290	-0.0296	0.0014	AFR	0.9971	AMR	0.0016	AFR
2474	NA20295	-0.0292	0.0009	AFR	0.997	AMR	0.0018	AFR
2477	NA20301	-0.024	-0.0021	AFR	0.9933	AMR	0.0033	AFR
2492	NA20349	-0.0228	-0.004	AFR	0.9936	AMR	0.0024	AFR
2485	NA20337	-0.0228	-0.0032	AFR	0.9925	AMR	0.0036	AFR
2446	NA20128	-0.0269	-0.0005	AFR	0.996	AMR	0.0018	AFR
2489	NA20344	-0.0241	-0.0024	AFR	0.9955	AMR	0.0017	AFR
2483	NA20333	-0.0278	0.0007	AFR	0.9961	AMR	0.0024	AFR
2466	NA20277	-0.0279	0.0001	AFR	0.9956	AMR	0.0026	AFR
2476	NA20300	-0.017	0.0037	AFR	0.9527	AMR	0.042	AFR
2488	NA20343	-0.022	-0.0031	AFR	0.9922	AMR	0.0035	AFR
2472	NA20292	-0.0229	-0.0025	AFR	0.9928	AMR	0.003	AFR
2492	NA20350	-0.0249	-0.0012	AFR	0.9948	AMR	0.0027	AFR
2436	NA19983	-0.0245	-0.0019	AFR	0.9941	AMR	0.0028	AFR
2467	NA20279	-0.0158	-0.0086	AFR	0.9589	EUR	0.0247	AFR
2470	NA20288	-0.0283	0.0004	AFR	0.9965	AMR	0.0021	AFR
2469	NA20284	-0.0213	-0.0042	AFR	0.9873	AMR	0.0072	AFR
2481	NA20322	-0.0241	-0.0025	AFR	0.9947	AMR	0.0021	AFR
2437	NA19714	-0.0173	-0.0062	AFR	0.9764	EUR	0.0117	AFR
2494	NA20358	-0.0289	0.0012	AFR	0.9966	AMR	0.0018	AFR
2496	NA20363	-0.0213	-0.0045	AFR	0.9893	AMR	0.0041	AFR
2495	NA20360	-0.0241	-0.003	AFR	0.9946	AMR	0.0027	AFR
2433	NA20129	-0.0241	0.0002	AFR	0.9923	AMR	0.0052	AFR
2368	NA19705	-0.0294	0.0005	AFR	0.9979	AMR	0.0008	AFR
2424	NA19836	-0.0256	-0.0014	AFR	0.9971	SAS	0.0008	AFR
2480	NA20319	-0.0203	-0.003	AFR	0.9844	AMR	0.0099	AFR
2489	NA20345	-0.0257	-0.0016	AFR	0.9963	AMR	0.0012	AFR
2477	NA20302	-0.0254	-0.0016	AFR	0.9961	AMR	0.0016	AFR
2490	NA20347	-0.0235	-0.0027	AFR	0.9935	AMR	0.0032	AFR
2367	NA19702	-0.0275	0.0003	AFR	0.9977	AMR	0.001	AFR
2496	NA20364	-0.0224	-0.003	AFR	0.9912	AMR	0.0036	AFR
2485	NA20336	-0.0181	-0.0064	AFR	0.9807	EUR	0.0092	AFR
2430	NA19915	-0.0269	-0.001	AFR	0.9965	AMR	0.0013	AFR
2369	NA19708	-0.0198	-0.0044	AFR	0.9879	AMR	0.0048	AFR
2487	NA20341	-0.0256	-0.0016	AFR	0.9959	AMR	0.0019	AFR
2431	NA19918	-0.0304	0.0014	AFR	0.9975	AMR	0.0014	AFR
2418	NA19828	-0.0224	-0.0034	AFR	0.995	AMR	0.0015	AFR
2437	NA19985	-0.0228	-0.0038	AFR	0.9916	AMR	0.0041	AFR
1377	NA11891	0.011	-0.0267	EUR	0.9933	AFR	0.0034	EUR
1444	NA12739	0.011	-0.0268	EUR	0.9952	AFR	0.0026	EUR
1344	NA10850	0.011	-0.0276	EUR	0.9943	AFR	0.0031	EUR
1463	NA12877	0.0107	-0.0275	EUR	0.9955	AFR	0.0024	EUR
1424	NA10845	0.0106	-0.027	EUR	0.9919	AFR	0.0046	EUR
1346	NA10852	0.0109	-0.0274	EUR	0.994	AFR	0.0033	EUR
13281	NA12344	0.0108	-0.027	EUR	0.9936	AFR	0.0042	EUR
1418	NA10837	0.0106	-0.0273	EUR	0.9952	AFR	0.0027	EUR
1353	NA12383	0.0105	-0.0273	EUR	0.9937	AFR	0.003	EUR
1358	NA12708	0.011	-0.0264	EUR	0.9937	AFR	0.003	EUR
1451	NA12766	0.0109	-0.0276	EUR	0.9934	AFR	0.0029	EUR
1456	NA12817	0.0106	-0.028	EUR	0.9948	AFR	0.0032	EUR
1421	NA10840	0.0111	-0.0271	EUR	0.9937	AFR	0.0032	EUR
13291	NA06997	0.0107	-0.0277	EUR	0.9905	AMR	0.0042	EUR
1423	NA11917	0.0106	-0.0269	EUR	0.9906	AFR	0.0041	EUR
13291	NA07435	0.0107	-0.0274	EUR	0.9951	AFR	0.0028	EUR
13291	NA07045	0.0109	-0.0279	EUR	0.9947	AFR	0.0025	EUR
13292	NA07031	0.0108	-0.0274	EUR	0.9928	AFR	0.0034	EUR
1330	NA12336	0.0107	-0.0273	EUR	0.9941	AFR	0.0032	EUR
1345	NA07349	0.011	-0.027	EUR	0.9925	AFR	0.0032	EUR
1353	NA12375	0.0105	-0.0272	EUR	0.9936	AFR	0.003	EUR
1330	NA12343	0.0106	-0.0271	EUR	0.9938	AFR	0.0031	EUR
1330	NA12335	0.0107	-0.0276	EUR	0.9935	AFR	0.0032	EUR
1458	NA12832	0.0112	-0.028	EUR	0.9966	AFR	0.0021	EUR
1377	NA10865	0.0109	-0.0272	EUR	0.9941	AFR	0.0033	EUR
1377	NA10864	0.011	-0.0275	EUR	0.9946	AFR	0.0032	EUR
1349	NA10853	0.0107	-0.0268	EUR	0.9937	AFR	0.0032	EUR
1456	NA12818	0.0108	-0.0275	EUR	0.9945	AFR	0.0026	EUR
1418	NA10836	0.0107	-0.0274	EUR	0.9943	AFR	0.003	EUR
1423	NA10843	0.0107	-0.0279	EUR	0.9951	AFR	0.0028	EUR
1345	NA07346	0.0111	-0.0276	EUR	0.9946	AFR	0.0028	EUR
13292	NA07014	0.011	-0.0271	EUR	0.9938	AFR	0.0032	EUR
1451	NA12767	0.0113	-0.028	EUR	0.9956	AFR	0.0025	EUR
1354	NA12386	0.0109	-0.0276	EUR	0.9938	AFR	0.003	EUR
13291	NA06995	0.0106	-0.0271	EUR	0.9939	AFR	0.0035	EUR
1353	NA12376	0.0107	-0.0282	EUR	0.9934	AFR	0.0033	EUR
1334	NA12146	0.0106	-0.0274	EUR	0.9943	AFR	0.0032	EUR
