FID	IID	PC1	PC2	Anc_1st	Pr_1st	Anc_2nd	Pr_2nd	Ancestry
1328	NA06984	-0.011	0.0268	EUR	0.9922	AFR	0.0044	EUR
1328	NA06989	-0.0104	0.0276	EUR	0.9955	AFR	0.0021	EUR
1330	NA12335	-0.0109	0.0267	EUR	0.991	AMR	0.0044	EUR
1330	NA12336	-0.0101	0.0277	EUR	0.9949	AMR	0.002	EUR
1330	NA12340	-0.0105	0.0288	EUR	0.9946	AFR	0.0022	EUR
1330	NA12341	-0.0102	0.0265	EUR	0.992	AFR	0.0037	EUR
1330	NA12342	-0.0106	0.0279	EUR	0.9927	AMR	0.0035	EUR
1330	NA12343	-0.0104	0.0273	EUR	0.9932	AFR	0.0028	EUR
1334	NA10846	-0.0115	0.0271	EUR	0.9936	AMR	0.0024	EUR
1334	NA10847	-0.0105	0.028	EUR	0.9896	AFR	0.0048	EUR
1334	NA12144	-0.0116	0.026	EUR	0.9895	AMR	0.005	EUR
1334	NA12145	-0.011	0.0288	EUR	0.9958	AFR	0.0018	EUR
1334	NA12146	-0.0104	0.0276	EUR	0.9949	AFR	0.0024	EUR
1334	NA12239	-0.0106	0.0272	EUR	0.9913	AMR	0.0037	EUR
1340	NA06994	-0.0113	0.0265	EUR	0.9953	AFR	0.0017	EUR
1340	NA07000	-0.0109	0.0279	EUR	0.9936	AFR	0.0027	EUR
1340	NA07022	-0.0104	0.0269	EUR	0.9919	AMR	0.0041	EUR
1340	NA07029	-0.0105	0.0271	EUR	0.9951	AMR	0.0019	EUR
1340	NA07056	-0.0111	0.0279	EUR	0.9949	AFR	0.0024	EUR
1341	NA06985	-0.0102	0.0266	EUR	0.9936	AFR	0.0026	EUR
1341	NA06991	-0.0108	0.0267	EUR	0.9951	AFR	0.0022	EUR
1341	NA06993	-0.0114	0.0273	EUR	0.996	AFR	0.0018	EUR
1341	NA07055	-0.0106	0.0269	EUR	0.9958	AMR	0.0016	EUR
1344	NA10850	-0.0108	0.0283	EUR	0.9962	AMR	0.0014	EUR
1344	NA12056	-0.0108	0.0285	EUR	0.9955	AFR	0.0022	EUR
1344	NA12057	-0.0109	0.0286	EUR	0.995	AFR	0.0022	EUR
1345	NA07345	-0.0105	0.0276	EUR	0.9839	AMR	0.0067	EUR
1345	NA07346	-0.0112	0.0282	EUR	0.9937	AFR	0.0028	EUR
1345	NA07347	-0.0113	0.029	EUR	0.9961	AFR	0.0019	EUR
1345	NA07348	-0.0105	0.0283	EUR	0.9904	AMR	0.0047	EUR
1345	NA07349	-0.0113	0.0272	EUR	0.9936	AFR	0.003	EUR
1345	NA07357	-0.0107	0.0291	EUR	0.9922	AMR	0.0037	EUR
1346	NA10852	-0.0109	0.0282	EUR	0.9946	AFR	0.0021	EUR
1346	NA12043	-0.011	0.0273	EUR	0.9963	AFR	0.0015	EUR
1346	NA12044	-0.011	0.0289	EUR	0.9949	AMR	0.0023	EUR
1346	NA12045	-0.0108	0.0277	EUR	0.9931	AMR	0.0023	EUR
1347	NA10859	-0.0111	0.0263	EUR	0.9938	AMR	0.0023	EUR
1347	NA11881	-0.0107	0.0259	EUR	0.9935	AFR	0.0026	EUR
1347	NA11882	-0.0111	0.027	EUR	0.9946	AMR	0.0021	EUR
1349	NA10853	-0.0104	0.0265	EUR	0.9948	AFR	0.0027	EUR
1349	NA10854	-0.0102	0.0266	EUR	0.994	AFR	0.0036	EUR
1349	NA11839	-0.0103	0.0275	EUR	0.9963	AFR	0.0021	EUR
1349	NA11840	-0.0101	0.0266	EUR	0.9909	AFR	0.0048	EUR
1349	NA11843	-0.0102	0.028	EUR	0.9927	AFR	0.0039	EUR
1350	NA10855	-0.0111	0.0278	EUR	0.9936	AMR	0.0025	EUR
1350	NA10856	-0.0105	0.027	EUR	0.9886	AMR	0.0055	EUR
1350	NA11829	-0.0114	0.0271	EUR	0.9903	AMR	0.0044	EUR
1350	NA11830	-0.0103	0.0273	EUR	0.991	AMR	0.0038	EUR
1350	NA11831	-0.0106	0.0278	EUR	0.993	AMR	0.003	EUR
1350	NA11832	-0.0109	0.0274	EUR	0.9955	AFR	0.002	EUR
1353	NA12375	-0.01	0.028	EUR	0.9955	AFR	0.0025	EUR
1353	NA12376	-0.0106	0.0285	EUR	0.9964	AFR	0.0015	EUR
1353	NA12383	-0.0102	0.0271	EUR	0.9948	AFR	0.0028	EUR
1353	NA12489	-0.0104	0.0282	EUR	0.9961	AFR	0.0021	EUR
1353	NA12546	-0.0107	0.0276	EUR	0.9955	AFR	0.0019	EUR
1354	NA12386	-0.0114	0.027	EUR	0.9944	AMR	0.002	EUR
1354	NA12399	-0.0115	0.0282	EUR	0.9934	AMR	0.0025	EUR
1354	NA12400	-0.0113	0.0281	EUR	0.9918	AMR	0.0035	EUR
1355	NA12413	-0.0108	0.0287	EUR	0.9921	AMR	0.0046	EUR
1358	NA12707	-0.0105	0.0278	EUR	0.9861	AMR	0.0085	EUR
1358	NA12708	-0.0106	0.0262	EUR	0.9915	AMR	0.0037	EUR
1358	NA12716	-0.0113	0.0282	EUR	0.989	AMR	0.0065	EUR
1358	NA12718	-0.0108	0.0269	EUR	0.9934	AMR	0.0027	EUR
1362	NA10861	-0.0104	0.0276	EUR	0.9925	AMR	0.0035	EUR
1362	NA11992	-0.011	0.0285	EUR	0.9937	AMR	0.0029	EUR
1362	NA11993	-0.0104	0.0265	EUR	0.9953	AFR	0.0023	EUR
1362	NA11994	-0.0112	0.0272	EUR	0.9873	AMR	0.0074	EUR
1362	NA11995	-0.0101	0.0288	EUR	0.9948	AFR	0.0021	EUR
1375	NA10863	-0.0105	0.0281	EUR	0.9933	AFR	0.0024	EUR
1375	NA12234	-0.011	0.0275	EUR	0.9952	AFR	0.0019	EUR
1375	NA12264	-0.0103	0.0288	EUR	0.9928	AMR	0.0029	EUR
1377	NA10864	-0.011	0.027	EUR	0.9914	AMR	0.0035	EUR
1377	NA10865	-0.0116	0.0272	EUR	0.9943	AMR	0.0021	EUR
1377	NA11891	-0.0114	0.0273	EUR	0.996	AFR	0.0021	EUR
1377	NA11892	-0.011	0.0271	EUR	0.9941	AMR	0.0022	EUR
1377	NA11893	-0.0116	0.0272	EUR	0.9856	AMR	0.0074	EUR
1377	NA11894	-0.0105	0.0281	EUR	0.9939	AFR	0.0024	EUR
1408	NA10830	-0.0105	0.028	EUR	0.9963	AFR	0.0019	EUR
1408	NA10831	-0.0113	0.0287	EUR	0.9922	AMR	0.0031	EUR
1408	NA12154	-0.0111	0.0272	EUR	0.9958	AFR	0.0016	EUR
1408	NA12155	-0.0105	0.0282	EUR	0.9936	AFR	0.0022	EUR
1408	NA12156	-0.0115	0.0274	EUR	0.9883	AMR	0.0055	EUR
1416	NA10835	-0.0118	0.0266	EUR	0.9911	AFR	0.0033	EUR
1416	NA12248	-0.0113	0.0262	EUR	0.9907	AFR	0.0035	EUR
1416	NA12249	-0.0117	0.0263	EUR	0.9857	AMR	0.0068	EUR
1418	NA10836	-0.0102	0.0275	EUR	0.9959	AFR	0.0018	EUR
1418	NA10837	-0.0113	0.0274	EUR	0.9965	AFR	0.0015	EUR
1418	NA12272	-0.011	0.0275	EUR	0.9971	AFR	0.0013	EUR
1418	NA12273	-0.0112	0.0274	EUR	0.9951	AMR	0.0019	EUR
1418	NA12275	-0.0099	0.027	EUR	0.9912	AMR	0.0037	EUR
1420	NA10838	-0.0112	0.0272	EUR	0.9947	AMR	0.002	EUR
1420	NA10839	-0.0109	0.0297	EUR	0.9959	AMR	0.0019	EUR
1420	NA12003	-0.0108	0.0269	EUR	0.9903	AMR	0.0045	EUR
1420	NA12005	-0.0106	0.0288	EUR	0.9948	AMR	0.0024	EUR
1420	NA12006	-0.0111	0.0287	EUR	0.9951	AMR	0.002	EUR
1421	NA10840	-0.0111	0.027	EUR	0.9916	AMR	0.0036	EUR
1421	NA12282	-0.0116	0.0284	EUR	0.9949	AMR	0.0021	EUR
1421	NA12283	-0.0106	0.0272	EUR	0.9931	AMR	0.0028	EUR
1421	NA12286	-0.0113	0.028	EUR	0.9953	AFR	0.0021	EUR
1421	NA12287	-0.0101	0.0277	EUR	0.9937	AMR	0.0028	EUR
1423	NA10843	-0.0109	0.0274	EUR	0.9952	AFR	0.0022	EUR
1423	NA11917	-0.0112	0.0259	EUR	0.9869	AFR	0.0054	EUR
1423	NA11918	-0.0111	0.0274	EUR	0.9881	AMR	0.0056	EUR
1423	NA11919	-0.0112	0.0271	EUR	0.9917	AMR	0.0028	EUR
1423	NA11920	-0.0103	0.0283	EUR	0.9941	AFR	0.003	EUR
1424	NA10845	-0.0116	0.0273	EUR	0.9905	AMR	0.0047	EUR
1424	NA11930	-0.0113	0.026	EUR	0.9949	AFR	0.0019	EUR
1424	NA11931	-0.0111	0.0274	EUR	0.9919	AFR	0.0034	EUR
1444	NA12739	-0.0112	0.028	EUR	0.9972	AFR	0.0013	EUR
1444	NA12740	-0.0097	0.0282	EUR	0.9955	AFR	0.0023	EUR
