FID IID FA MO SEX AFF PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10
HG00096 HG00096 0 0 0 1 -0.0108 0.0269 0.0131 0.0191 -0.0005 -0.0119 0.0045 0.0018 0.0027 0.0367
HG00097 HG00097 0 0 0 1 -0.0107 0.0282 0.0109 0.0158 -0.0031 -0.0081 -0.0043 0.0035 -0.0078 0.0536
HG00099 HG00099 0 0 0 1 -0.0108 0.0266 0.0124 0.0174 -0.0017 -0.0152 0.0024 0.0045 -0.0320 0.0524
HG00100 HG00100 0 0 0 1 -0.0105 0.0272 0.0092 0.0161 -0.0023 -0.0029 0.0012 0.0087 -0.0135 0.0335
HG00101 HG00101 0 0 0 1 -0.0111 0.0274 0.0112 0.0180 0.0010 -0.0211 0.0002 -0.0011 0.0004 0.0544
HG00102 HG00102 0 0 0 1 -0.0114 0.0279 0.0098 0.0153 0.0092 -0.0152 0.0072 -0.0038 -0.0129 0.0377
HG00103 HG00103 0 0 0 1 -0.0109 0.0274 0.0104 0.0170 0.0036 -0.0155 0.0107 -0.0110 -0.0167 0.0441
HG00105 HG00105 0 0 0 1 -0.0116 0.0272 0.0135 0.0197 0.0015 -0.0122 -0.0007 -0.0063 -0.0173 0.0449
HG00106 HG00106 0 0 0 1 -0.0114 0.0270 0.0101 0.0169 -0.0097 -0.0130 0.0079 -0.0058 -0.0158 0.0313
HG00107 HG00107 0 0 0 1 -0.0114 0.0283 0.0118 0.0191 -0.0082 -0.0169 -0.0053 0.0119 -0.0018 0.0338
HG00108 HG00108 0 0 0 1 -0.0115 0.0282 0.0123 0.0180 0.0008 -0.0069 0.0040 0.0069 -0.0123 0.0360
HG00109 HG00109 0 0 0 1 -0.0108 0.0278 0.0113 0.0189 0.0007 -0.0076 -0.0033 -0.0094 -0.0138 0.0289
HG00110 HG00110 0 0 0 1 -0.0109 0.0275 0.0135 0.0170 0.0045 -0.0216 0.0061 -0.0042 0.0005 0.0333
HG00111 HG00111 0 0 0 1 -0.0109 0.0279 0.0082 0.0138 0.0040 -0.0109 -0.0054 0.0047 0.0105 0.0333
HG00112 HG00112 0 0 0 1 -0.0107 0.0268 0.0093 0.0153 0.0063 -0.0157 0.0010 0.0071 -0.0079 0.0350
HG00113 HG00113 0 0 0 1 -0.0110 0.0268 0.0140 0.0161 0.0073 -0.0069 -0.0007 -0.0120 -0.0083 0.0339
HG00114 HG00114 0 0 0 1 -0.0115 0.0277 0.0086 0.0222 0.0013 -0.0151 -0.0031 -0.0078 0.0070 0.0520
HG00115 HG00115 0 0 0 1 -0.0109 0.0275 0.0122 0.0197 0.0035 -0.0116 0.0031 -0.0053 -0.0168 0.0403
HG00116 HG00116 0 0 0 1 -0.0114 0.0274 0.0122 0.0173 -0.0016 -0.0171 -0.0022 0.0042 -0.0132 0.0409
HG00117 HG00117 0 0 0 1 -0.0115 0.0274 0.0086 0.0201 0.0042 -0.0084 0.0122 0.0118 0.0137 0.0313
HG00118 HG00118 0 0 0 1 -0.0109 0.0279 0.0133 0.0155 0.0045 -0.0140 -0.0026 -0.0036 -0.0212 0.0279
HG00119 HG00119 0 0 0 1 -0.0113 0.0274 0.0110 0.0181 -0.0019 -0.0157 0.0037 0.0002 -0.0096 0.0495
HG00121 HG00121 0 0 0 1 -0.0114 0.0274 0.0098 0.0175 0.0056 -0.0140 0.0040 -0.0083 -0.0075 0.0385
HG00122 HG00122 0 0 0 1 -0.0106 0.0275 0.0112 0.0197 -0.0049 -0.0106 0.0039 -0.0010 -0.0203 0.0315
HG00123 HG00123 0 0 0 1 -0.0108 0.0264 0.0105 0.0163 0.0027 -0.0106 -0.0010 0.0026 -0.0341 0.0538
HG00125 HG00125 0 0 0 1 -0.0108 0.0273 0.0131 0.0153 0.0056 -0.0136 0.0034 -0.0013 -0.0092 0.0358
HG00126 HG00126 0 0 0 1 -0.0108 0.0277 0.0082 0.0192 0.0081 -0.0127 0.0054 -0.0053 0.0030 0.0240
HG00127 HG00127 0 0 0 1 -0.0110 0.0273 0.0087 0.0214 -0.0075 -0.0037 0.0100 0.0033 -0.0049 0.0374
HG00128 HG00128 0 0 0 1 -0.0105 0.0270 0.0091 0.0177 -0.0054 -0.0128 -0.0042 0.0081 -0.0003 0.0350
HG00129 HG00129 0 0 0 1 -0.0109 0.0284 0.0110 0.0187 0.0069 -0.0115 -0.0076 -0.0059 -0.0024 0.0186
HG00130 HG00130 0 0 0 1 -0.0103 0.0278 0.0094 0.0205 0.0052 -0.0077 -0.0081 0.0035 -0.0035 0.0383
HG00131 HG00131 0 0 0 1 -0.0117 0.0271 0.0104 0.0193 -0.0017 -0.0101 -0.0022 -0.0019 -0.0032 0.0163
HG00132 HG00132 0 0 0 1 -0.0115 0.0286 0.0093 0.0214 0.0018 -0.0046 0.0093 -0.0153 0.0022 0.0380
HG00133 HG00133 0 0 0 1 -0.0110 0.0277 0.0106 0.0195 -0.0044 -0.0038 0.0047 -0.0123 -0.0015 0.0364
HG00136 HG00136 0 0 0 1 -0.0111 0.0273 0.0124 0.0202 -0.0039 -0.0105 -0.0094 0.0020 0.0051 0.0323
HG00137 HG00137 0 0 0 1 -0.0110 0.0276 0.0105 0.0203 0.0009 -0.0116 -0.0087 0.0015 -0.0143 0.0296
HG00138 HG00138 0 0 0 1 -0.0111 0.0274 0.0093 0.0169 -0.0014 -0.0074 -0.0015 -0.0093 -0.0045 0.0328
HG00139 HG00139 0 0 0 1 -0.0104 0.0276 0.0095 0.0221 0.0102 -0.0041 0.0059 0.0178 0.0023 0.0164
HG00140 HG00140 0 0 0 1 -0.0126 0.0280 0.0086 0.0202 0.0040 -0.0071 0.0005 0.0013 0.0053 0.0282
HG00141 HG00141 0 0 0 1 -0.0115 0.0279 0.0080 0.0174 0.0058 -0.0071 0.0174 0.0001 -0.0142 0.0263
HG00142 HG00142 0 0 0 1 -0.0107 0.0273 0.0135 0.0221 0.0039 -0.0067 0.0055 -0.0075 -0.0100 0.0170
HG00143 HG00143 0 0 0 1 -0.0106 0.0286 0.0104 0.0162 -0.0052 -0.0066 -0.0029 0.0007 -0.0029 0.0296
HG00145 HG00145 0 0 0 1 -0.0113 0.0282 0.0101 0.0176 -0.0067 -0.0051 0.0024 -0.0022 -0.0137 0.0370
HG00146 HG00146 0 0 0 1 -0.0108 0.0270 0.0116 0.0179 -0.0045 -0.0082 -0.0068 -0.0095 0.0083 0.0546
HG00148 HG00148 0 0 0 1 -0.0112 0.0284 0.0095 0.0162 0.0059 -0.0090 -0.0043 0.0050 -0.0012 0.0449
HG00149 HG00149 0 0 0 1 -0.0101 0.0287 0.0113 0.0183 0.0017 -0.0044 0.0077 -0.0037 -0.0150 0.0228
