FID IID FA MO SEX AFF PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10
HG00096 HG00096 0 0 0 1 0.0110 -0.0271 0.0098 0.0198 -0.0017 -0.0097 -0.0003 0.0010 0.0031 -0.0152
HG00097 HG00097 0 0 0 1 0.0107 -0.0275 0.0090 0.0189 -0.0008 -0.0097 -0.0012 -0.0014 -0.0024 -0.0245
HG00099 HG00099 0 0 0 1 0.0111 -0.0276 0.0102 0.0183 -0.0025 -0.0151 0.0014 0.0079 -0.0090 -0.0121
HG00100 HG00100 0 0 0 1 0.0108 -0.0277 0.0094 0.0180 0.0004 -0.0052 0.0015 0.0026 -0.0110 -0.0107
HG00101 HG00101 0 0 0 1 0.0109 -0.0273 0.0106 0.0192 -0.0021 -0.0107 0.0001 0.0029 -0.0046 -0.0110
HG00102 HG00102 0 0 0 1 0.0113 -0.0273 0.0088 0.0183 -0.0055 -0.0152 0.0015 0.0036 -0.0022 -0.0178
HG00103 HG00103 0 0 0 1 0.0112 -0.0274 0.0100 0.0200 -0.0013 -0.0112 -0.0005 0.0016 -0.0105 -0.0122
HG00105 HG00105 0 0 0 1 0.0109 -0.0273 0.0104 0.0183 -0.0007 -0.0091 0.0013 0.0030 -0.0082 -0.0038
HG00106 HG00106 0 0 0 1 0.0113 -0.0273 0.0088 0.0183 0.0018 -0.0117 -0.0035 0.0062 -0.0113 -0.0109
HG00107 HG00107 0 0 0 1 0.0114 -0.0274 0.0112 0.0194 -0.0015 -0.0159 0.0030 0.0007 -0.0031 -0.0046
HG00108 HG00108 0 0 0 1 0.0107 -0.0273 0.0106 0.0198 0.0021 -0.0141 -0.0003 0.0015 -0.0061 -0.0039
HG00109 HG00109 0 0 0 1 0.0109 -0.0275 0.0096 0.0207 -0.0002 -0.0083 0.0030 0.0055 -0.0050 -0.0093
HG00110 HG00110 0 0 0 1 0.0113 -0.0269 0.0095 0.0191 -0.0037 -0.0182 -0.0003 0.0030 -0.0075 -0.0229
HG00111 HG00111 0 0 0 1 0.0111 -0.0274 0.0085 0.0160 -0.0025 -0.0129 0.0021 0.0030 -0.0040 -0.0081
HG00112 HG00112 0 0 0 1 0.0112 -0.0273 0.0089 0.0186 0.0001 -0.0115 0.0012 -0.0008 -0.0003 -0.0079
HG00113 HG00113 0 0 0 1 0.0110 -0.0275 0.0096 0.0190 -0.0007 -0.0082 -0.0012 0.0049 -0.0039 -0.0073
HG00114 HG00114 0 0 0 1 0.0109 -0.0274 0.0106 0.0197 -0.0036 -0.0110 0.0016 0.0024 0.0021 -0.0158
HG00115 HG00115 0 0 0 1 0.0111 -0.0275 0.0086 0.0194 0.0008 -0.0071 -0.0012 0.0007 -0.0040 0.0010
HG00116 HG00116 0 0 0 1 0.0113 -0.0275 0.0104 0.0196 0.0011 -0.0125 -0.0014 0.0042 -0.0102 -0.0113
HG00117 HG00117 0 0 0 1 0.0111 -0.0276 0.0091 0.0192 -0.0013 -0.0135 0.0009 0.0004 0.0022 -0.0127
HG00118 HG00118 0 0 0 1 0.0111 -0.0272 0.0103 0.0173 -0.0013 -0.0097 0.0052 0.0013 -0.0081 -0.0141
HG00119 HG00119 0 0 0 1 0.0111 -0.0271 0.0100 0.0197 0.0003 -0.0107 0.0011 0.0006 -0.0073 -0.0258
HG00121 HG00121 0 0 0 1 0.0112 -0.0278 0.0085 0.0191 -0.0066 -0.0191 0.0007 0.0029 0.0011 -0.0151
HG00122 HG00122 0 0 0 1 0.0112 -0.0272 0.0111 0.0187 -0.0008 -0.0127 0.0009 -0.0015 -0.0148 -0.0159
HG00123 HG00123 0 0 0 1 0.0109 -0.0274 0.0089 0.0178 -0.0024 -0.0126 0.0017 -0.0027 -0.0164 -0.0182
HG00125 HG00125 0 0 0 1 0.0109 -0.0271 0.0108 0.0180 -0.0049 -0.0174 -0.0014 0.0018 -0.0076 -0.0096
HG00126 HG00126 0 0 0 1 0.0111 -0.0285 0.0102 0.0193 -0.0069 -0.0087 0.0003 0.0068 -0.0028 0.0036
HG00127 HG00127 0 0 0 1 0.0112 -0.0278 0.0087 0.0193 0.0022 -0.0053 -0.0030 0.0034 -0.0083 -0.0031
HG00128 HG00128 0 0 0 1 0.0108 -0.0283 0.0085 0.0198 0.0014 -0.0090 0.0003 0.0003 -0.0084 -0.0072
HG00129 HG00129 0 0 0 1 0.0111 -0.0278 0.0102 0.0182 -0.0050 -0.0164 0.0000 0.0008 -0.0001 -0.0096
HG00130 HG00130 0 0 0 1 0.0105 -0.0277 0.0082 0.0206 -0.0022 0.0002 0.0011 0.0005 0.0083 -0.0130
HG00131 HG00131 0 0 0 1 0.0109 -0.0277 0.0087 0.0194 -0.0002 -0.0124 -0.0001 0.0004 0.0004 0.0026
HG00132 HG00132 0 0 0 1 0.0111 -0.0282 0.0088 0.0209 -0.0044 -0.0024 -0.0010 0.0042 -0.0096 -0.0192
HG00133 HG00133 0 0 0 1 0.0108 -0.0276 0.0092 0.0192 0.0027 -0.0048 -0.0022 0.0038 -0.0045 -0.0052
HG00136 HG00136 0 0 0 1 0.0112 -0.0273 0.0097 0.0191 -0.0008 -0.0120 0.0049 -0.0014 -0.0095 -0.0095
HG00137 HG00137 0 0 0 1 0.0111 -0.0278 0.0089 0.0191 -0.0007 -0.0072 0.0037 -0.0001 -0.0058 -0.0048
HG00138 HG00138 0 0 0 1 0.0108 -0.0281 0.0093 0.0191 -0.0011 -0.0103 0.0018 0.0036 -0.0081 -0.0049
